,UCO,,SIVR,,GLD,,SLV
,,,,,,6/10/2019,13.78
,,,,,,6/11/2019,13.81
,,,,,,6/12/2019,13.84
,,,,,,6/13/2019,13.96
,,,,,,6/14/2019,13.91
,,,,,,6/17/2019,13.9
,,,,,,6/18/2019,14.05
,,,,,,6/19/2019,14.17
,,,,,,6/20/2019,14.45
,,,,,,6/21/2019,14.36
,,,,,,6/24/2019,14.46
,,,,,,6/25/2019,14.38
,,,,,,6/26/2019,14.32
,,,,,,6/27/2019,14.28
,,,,,,6/28/2019,14.33
,,,,,,7/1/2019,14.18
,,,,,,7/2/2019,14.29
,,,,,,7/3/2019,14.32
,,,,,,7/5/2019,14.06
,,,,,,7/8/2019,14.05
,,,,,,7/9/2019,14.14
,,,,,,7/10/2019,14.26
,,,,,,7/11/2019,14.17
,,,,,,7/12/2019,14.26
,,,,,,7/15/2019,14.42
,,,,,,7/16/2019,14.54
,,,,,,7/17/2019,14.94
,,,,,,7/18/2019,15.29
,,,,,,7/19/2019,15.17
,,,,,,7/22/2019,15.35
,,,,,,7/23/2019,15.34
,,,,,,7/24/2019,15.52
,,,,,,7/25/2019,15.36
,,,,,,7/26/2019,15.31
,,,,,,7/29/2019,15.4
,,,,,,7/30/2019,15.5
,,,,,,7/31/2019,15.21
,,,,,,8/1/2019,15.34
,,,,,,8/2/2019,15.19
,,,,,,8/5/2019,15.33
,,,,,,8/6/2019,15.38
,,,,,,8/7/2019,15.97
,,,,,,8/8/2019,15.89
,,,,,,8/9/2019,15.89
,,,,,,8/12/2019,15.98
,,,,,,8/13/2019,15.87
,,,,,,8/14/2019,16.08
,,,,,,8/15/2019,16.13
,,,,,,8/16/2019,16.02
,,,,,,8/19/2019,15.79
,,,,,,8/20/2019,16.05
,,,,,,8/21/2019,16.05
,,,,,,8/22/2019,15.97
,,,,,,8/23/2019,16.35
,,,,,,8/26/2019,16.52
,,,,,,8/27/2019,17.03
,,,,,,8/28/2019,17.17
,,,,,,8/29/2019,17.07
,,,,,,8/30/2019,17.15
,,,,,,9/3/2019,17.89
,,,,,,9/4/2019,18.34
,,,,,,9/5/2019,17.41
,,,,,,9/6/2019,16.87
,,,,,,9/9/2019,16.83
,,,,,,9/10/2019,16.85
,,,,,,9/11/2019,16.95
,,,,,,9/12/2019,16.92
,,,,,,9/13/2019,16.31
,,,,,,9/16/2019,16.74
,,,,,,9/17/2019,16.86
,,,,,,9/18/2019,16.55
,,,,,,9/19/2019,16.62
,,,,,,9/20/2019,16.8
,,,,,,9/23/2019,17.51
,,,,,,9/24/2019,17.44
,,,,,,9/25/2019,16.71
,,,,,,9/26/2019,16.67
,,,,,,9/27/2019,16.36
,,,,,,9/30/2019,15.92
,,,,,,10/1/2019,16.15
,,,,,,10/2/2019,16.43
,,,,,,10/3/2019,16.43
,,,,,,10/4/2019,16.41
,,,,,,10/7/2019,16.3
,,,,,,10/8/2019,16.61
,,,,,,10/9/2019,16.6
,,,,,,10/10/2019,16.37
,,,,,,10/11/2019,16.37
,,,,,,10/14/2019,16.49
,,,,,,10/15/2019,16.27
,,,,,,10/16/2019,16.26
,,,,,,10/17/2019,16.4
,,,,,,10/18/2019,16.41
,,,,,,10/21/2019,16.41
,,,,,,10/22/2019,16.37
,,,,,,10/23/2019,16.39
,,,,,,10/24/2019,16.65
,,,,,,10/25/2019,16.89
,,,,,,10/28/2019,16.68
,,,,,,10/29/2019,16.65
,,,,,,10/30/2019,16.73
,,,,,,10/31/2019,16.92
,,,,,,11/1/2019,16.92
,,,,,,11/4/2019,16.85
,,,,,,11/5/2019,16.44
,,,,,,11/6/2019,16.47
,,,,,,11/7/2019,16.47
,,,,,,11/8/2019,15.7
,,,,,,11/11/2019,15.75
,,,,,,11/12/2019,15.72
,,,,,,11/13/2019,15.83
,,,,,,11/14/2019,15.9
,,,,,,11/15/2019,15.85
,,,,,,11/18/2019,15.92
,,,,,,11/19/2019,16.02
,,,,,,11/20/2019,16.04
,,,,,,11/21/2019,15.99
,,,,,,11/22/2019,15.9
,,,,,,11/25/2019,15.78
,,,,,,11/26/2019,15.99
,,,,,,11/27/2019,15.84
,,,,,,11/29/2019,15.92
,,,,,,12/2/2019,15.8
,,,,,,12/3/2019,16.05
,,,,,,12/4/2019,15.76
,,,,,,12/5/2019,15.85
,,,,,,12/6/2019,15.48
,,,,,,12/9/2019,15.5
,,,,,,12/10/2019,15.57
,,,,,,12/11/2019,15.75
,,,,,,12/12/2019,15.85
,,,,,,12/13/2019,15.84
,,,,,,12/16/2019,15.91
,,,,,,12/17/2019,15.88
,,,,,,12/18/2019,15.9
,,,,,,12/19/2019,15.94
,,,,,,12/20/2019,16.04
,,,,,,12/23/2019,16.28
,,,,,,12/24/2019,16.58
,,,,,,12/26/2019,16.73
,,,,,,12/27/2019,16.58
,,,,,,12/30/2019,16.74
,,,,,,12/31/2019,16.68
,,,,,,1/2/2020,16.81
,,,,,,1/3/2020,16.84
,,,,,,1/6/2020,16.94
,,,,,,1/7/2020,17.17
,,,,,,1/8/2020,16.93
,,,,,,1/9/2020,16.72
,,,,,,1/10/2020,16.89
,,,,,,1/13/2020,16.78
,,,,,,1/14/2020,16.62
,,,,,,1/15/2020,16.81
,,,,,,1/16/2020,16.77
,,,,,,1/17/2020,16.82
,,,,,,1/21/2020,16.64
,,,,,,1/22/2020,16.66
,,,,,,1/23/2020,16.61
,,,,,,1/24/2020,16.91
,,,,,,1/27/2020,16.89
,,,,,,1/28/2020,16.32
,,,,,,1/29/2020,16.41
,,,,,,1/30/2020,16.68
,,,,,,1/31/2020,16.82
,,,,,,2/3/2020,16.5
,,,,,,2/4/2020,16.45
,,,,,,2/5/2020,16.46
,,,,,,2/6/2020,16.63
,,,,,,2/7/2020,16.54
,,,,,,2/10/2020,16.61
,,,,,,2/11/2020,16.48
,,,,,,2/12/2020,16.33
,,,,,,2/13/2020,16.46
,,,,,,2/14/2020,16.56
,,,,,,2/18/2020,17.01
,,,,,,2/19/2020,17.23
,,,,,,2/20/2020,17.14
,,,,,,2/21/2020,17.28
,,,,,,2/24/2020,17.4
,,,,,,2/25/2020,16.71
,,,,,,2/26/2020,16.68
,,,,,,2/27/2020,16.47
,,,,,,2/28/2020,15.53
,,,,,,3/2/2020,15.56
,,,,,,3/3/2020,16.02
,,,,,,3/4/2020,16.09
,,,,,,3/5/2020,16.3
,,,,,,3/6/2020,16.18
,,,,,,3/9/2020,15.88
,,,,,,3/10/2020,15.73
,,,,,,3/11/2020,15.63
,,,,,,3/12/2020,14.62
,,,,,,3/13/2020,13.69
,,,,,,3/16/2020,12
,,,,,,3/17/2020,11.88
,,,,,,3/18/2020,11.21
,,,,,,3/19/2020,11.32
,,,,,,3/20/2020,11.62
,,,,,,3/23/2020,12.31
,,,,,,3/24/2020,13.29
,,,,,,3/25/2020,13.51
,,,,,,3/26/2020,13.53
,,,,,,3/27/2020,13.44
,,,,,,3/30/2020,13.16
,,,,,,3/31/2020,13.05
,,,,,,4/1/2020,13.02
,,,,,,4/2/2020,13.53
,,,,,,4/3/2020,13.46
,,,,,,4/6/2020,14.03
,,,,,,4/7/2020,13.99
,,,,,,4/8/2020,13.94
,,,,,,4/9/2020,14.34
,,,,,,4/13/2020,14.4
,,,,,,4/14/2020,14.65
,,,,,,4/15/2020,14.49
,,,,,,4/16/2020,14.51
,,,,,,4/17/2020,14.15
,,,,,,4/20/2020,14.26
,,,,,,4/21/2020,13.88
,,,,,,4/22/2020,14.09
,,,,,,4/23/2020,14.21
,,,,,,4/24/2020,14.21
,,,,,,4/27/2020,14.21
,,,,,,4/28/2020,14.1
,,,,,,4/29/2020,14.28
,,,,,,4/30/2020,13.98
,,,,,,5/1/2020,13.92
,,,,,,5/4/2020,13.77
,,,,,,5/5/2020,13.93
,,,,,,5/6/2020,13.92
,,,,,,5/7/2020,14.26
,,,,,,5/8/2020,14.44
,,,,,,5/11/2020,14.44
,,,,,,5/12/2020,14.42
,,,,,,5/13/2020,14.55
,,,,,,5/14/2020,14.81
,,,,,,5/15/2020,15.51
,,,,,,5/18/2020,15.79
,,,,,,5/19/2020,16.17
,,,,,,5/20/2020,16.36
,,,,,,5/21/2020,15.96
,,,,,,5/22/2020,16.04
,,,,,,5/26/2020,15.97
,,,,,,5/27/2020,16.15
,,,,,,5/28/2020,16.19
,,,,,,5/29/2020,16.66
,,,,,,6/1/2020,17.1
,,,,,,6/2/2020,16.84
,,,,,,6/3/2020,16.48
,,,,,,6/4/2020,16.54
,,,,,,6/5/2020,16.2
,,,,,,6/8/2020,16.59
,,,,,,6/9/2020,16.42
,,,,,,6/10/2020,16.96
,,,,,,6/11/2020,16.44
,,,,,,6/12/2020,16.28
,,,,,,6/15/2020,16.23
,,,,,,6/16/2020,16.26
,,,,,,6/17/2020,16.33
,,,,,,6/18/2020,16.21
,,,,,,6/19/2020,16.49
,,,,,,6/22/2020,16.5
,,,,,,6/23/2020,16.76
,,,,,,6/24/2020,16.28
,,,,,,6/25/2020,16.59
,,,,,,6/26/2020,16.63
,,,,,,6/29/2020,16.65
,,,,,,6/30/2020,17.01
